ACCESSION: ......
RECORD_TITLE: 4853-27,229-1540,776-161,15
CH$NAME: 4853-27,229-1540,776-161,15
CH$INCHIKEY: JUQGWBAOQUBVFP-UHFFFAOYNA-N
CH$SMILES: CC(C)C(C1)C(C=2)C(=CCC(C)2)C(C)C1
CH$FORMULA: C15H24
AC$CHROMATOGRAPHY: RETENTION_TIME 27,229
AC$CHROMATOGRAPHY: RETENTION_INDEX 1540,776
MS$FOCUSED_ION: SCAN_NUMBER 4853
MS$FOCUSED_ION: QUANT_M/Z 161,15
PK$NUM_PEAK: 378
PK$PEAK: m/z int. rel.int.
528,20001 14 0,127
529,20001 3 0,028
531,20001 2 0,018
532,20001 15 0,13
533,20001 12 0,11
534,20001 13 0,113
535,20001 0 0,001
538,20001 36 0,318
539,20001 21 0,184
540,20001 11 0,101
543,20001 2 0,015
544,20001 9 0,079
547,20001 12 0,109
548,20001 24 0,217
549,20001 11 0,099
550,20001 1 0,009
551,20001 11 0,102
552,20001 18 0,157
553,20001 17 0,147
555,20001 13 0,116
557,20001 23 0,204
558,20001 9 0,078
559,20001 16 0,143
563,20001 1 0,009
564,20001 46 0,411
566,20001 10 0,085
567,20001 13 0,115
570,20001 17 0,15
571,20001 17 0,147
572,20001 16 0,143
573,20001 13 0,117
574,20001 1 0,007
577,20001 18 0,163
579,20001 13 0,115
580,20001 0 0,003
584,20001 19 0,168
586,20001 2 0,022
590,20001 22 0,198
591,20001 22 0,198
592,20001 3 0,028
597,20001 28 0,245
599,20001 8 0,067
//

